pdbid	type	label	p_group_0.3	casf2016
10gs	refined	6.3979400086720375	1358	refined
11gs	kikd	5.823908740944319	1358	general
13gs	kikd	4.619788758288394	1358	general
16pk	kikd	5.221848749616356	387	general
184l	refined	4.721246399047171	1606	refined
185l	refined	3.537602002101044	1606	refined
186l	refined	4.853871964321762	1606	refined
187l	refined	3.374687549038326	1606	refined
188l	refined	3.3279021420642825	1606	refined
1a07	kikd	6.3979400086720375	2644	general
1a08	kikd	5.619788758288394	2644	general
1a09	kikd	6.698970004336019	2644	general
1a0q	kikd	7.568636235841012	2089	general
1a0t	kikd	1.3010299956639813	907	general
1a1b	kikd	6.3979400086720375	2644	general
1a1c	kikd	6.3979400086720375	2644	general
1a1e	refined	6.0	2644	refined
1a28	refined	8.292429823902063	1564	refined
1a2c	np	6.301029995663981	2236	general
1a30	test	4.3	2452	
1a37	kikd	6.920818753952375	904	general
1a3e	np	8.455931955649724	2236	general
1a42	np	9.886056647693165	1104	general
1a46	np	5.698970004336019	2236	general
1a4g	ic50	8.397940008672037	629	general
1a4h	np	5.920818753952375	1197	general
1a4k	refined	8.0	2079	refined
1a4m	kikd	13.0	637	general
1a4q	ic50	5.443697499232712	629	general
1a4r	refined	6.657577319177793	1981	refined
1a4w	np	5.920818753952375	2236	refined
1a52	np	9.860120913598765	1568	general
1a5g	np	10.148741651280924	2236	general
1a5h	kikd	6.301029995663981	2230	general
1a5v	ic50	3.096910013008056	2038	general
1a61	np	8.619788758288394	2236	general
1a69	refined	5.301029995663981	1308	refined
1a7c	kikd	4.0	937	general
1a7t	kikd	1.6382721639824072	1650	general
1a7x	kikd	9.69897000433602	2045	general
1a85	ic50	4.522878745280337	1757	general
1a86	ic50	3.995678626217357	1757	general
1a8i	np	5.522878745280337	21	refined
1a8t	kikd	5.795880017344075	1650	general
1a94	np	7.853871964321762	2452	refined
1a99	refined	5.698970004336019	1957	refined
1a9m	np	6.924453038607469	2452	refined
1a9q	refined	6.167491087293763	1321	refined
1a9u	np	7.318758762624412	2515	general
1aaq	np	8.397940008672037	2452	refined
1abf	kikd	5.42021640338319	1820	general
1abt	kikd	5.853871964321762	2350	general
1acj	np	8.086186147616283	161	general
1ad8	np	6.6020599913279625	2236	general
1add	refined	6.7447274948966935	637	refined
1adl	refined	5.356547323513812	2123	refined
1ado	refined	6.0	312	refined
1af2	kikd	3.096910013008056	2874	general
1af6	kikd	1.8239087409443189	908	general
1afk	np	6.619788758288394	2008	refined
1afl	np	6.2839966563652006	2008	refined
1ag9	kikd	9.0	1701	general
1agm	kikd	12.0	279	general
1agw	ic50	4.698970004336019	2629	general
1aht	np	6.207608310501746	2236	general
1ahx	kikd	3.9208187539523753	788	general
1ahy	kikd	3.356547323513813	788	general
1ai4	refined	2.504455662453552	356	refined
1ai5	refined	3.723538195826756	356	refined
1ai6	kikd	3.9706162223147903	356	general
1ai7	refined	4.086186147616283	356	refined
1aid	np	4.823908740944319	2452	refined
1aj6	kikd	5.920818753952375	1678	general
1aj7	refined	3.869666231504994	2079	refined
1ajn	refined	2.6345120151091006	356	refined
1ajp	refined	2.23284413391782	356	refined
1ajq	refined	4.309803919971486	356	refined
1ajv	np	7.718966632752272	2452	refined
1ajx	np	7.913640169325252	2452	refined
1akq	kikd	9.102372908709558	1699	general
1akr	kikd	9.086186147616283	1699	general
1akt	kikd	8.494850021680094	1699	general
1aku	kikd	6.127261172527332	1699	general
1akv	kikd	11.585026652029182	1699	general
1akw	kikd	8.585026652029182	1699	general
1al7	kikd	7.795880017344075	796	general
1al8	kikd	5.318758762624412	796	general
1alw	refined	6.522878745280337	2001	refined
1amk	refined	4.301029995663981	1206	refined
1amn	np	13.82390874094432	161	general
