pdbid,ligand_name
121p,['gcp']
12as,['amp']
13pk,"['3pg', 'adp']"
16pk,['bis']
17gs,['gtx']
182l,['bzf']
183l,['den']
185l,['ind']
186l,['n4b']
187l,['pxy']
18gs,['gdn']
19gs,"['bsp', 'gtt']"
1a05,['ipm']
1a0f,['gts']
1a0g,['pmp']
1a0j,['ben']
1a26,['cna']
1a2b,['gsp']
1a2c,"['oar', 'rph']"
1a2k,['gdp']
1a3g,['plp']
1a3l,['cfc']
1a46,['oho']
1a4i,['ndp']
1a4m,['prh']
1a4q,['dpc']
1a4w,['2ep']
1a53,['igp']
1a54,['mdc']
1a59,['coa']
1a5a,['plp']
1a5b,"['igp', 'plp']"
1a5g,['eoa']
1a5s,['fip']
1a5z,['nad']
1a69,['fmb']
1a6v,['npc']
1a71,['nad']
1a78,['dtt']
1a85,['dbp']
1a86,['abn']
1a8g,['hv7']
1a8p,['fad']
1a95,"['gun', 'pcp']"
1a9m,['u0e']
1a9q,['hpa']
1a9r,['hpa']
1a9s,['nos']
1a9t,"['hpa', 'r1p']"
1a9y,"['nad', 'upg']"
1a9z,"['nad', 'upg']"
1aa6,['mgd']
1abf,['fca']
1ac4,['tmt']
1ac8,['tmz']
1ads,['nap']
1ae1,['nap']
1ae8,['azl']
1aed,['dti']
1aee,['anl']
1aef,['3ap']
1aeg,['4ap']
1aeh,['24t']
1aej,['nvi']
1aek,['idm']
1aem,['mpi']
1aen,['25t']
1aeo,['2ap']
1aeq,['2ez']
1af6,['fru']
1af7,['sah']
1afe,['alz']
1afq,['fba']
1afs,"['nap', 'tes']"
1agp,['gnp']
1ah0,"['nap', 'sbi']"
1ah3,"['nap', 'tol']"
1ah4,['nap']
1ah5,['dpm']
1ahb,['fmp']
1ahe,['plp']
1ahf,"['iop', 'plp']"
1ahh,['nad']
1ahi,"['cho', 'nad']"
1aht,['apa']
1ahx,"['hci', 'plp']"
1ahy,"['mae', 'plp']"
1ai8,['t42']
1ai9,['ndp']
1aia,['pmp']
1aic,['pmp']
1aid,['thk']
1aij,"['lda', 'u10']"
1aix,['t19']
1aj0,"['ph2', 'san']"
1aj2,['2ph']
1aj8,['coa']
1ajk,['epe']
1ajn,['aan']
1ajp,['omd']
1ajq,['spa']
1ajs,['pla']
1ajv,['nmb']
1ajx,['ah1']
1aka,['plp']
1akb,['ppd']
1akc,['ppe']
1akd,['cam']
1akq,['fmn']
1akr,['fmn']
1akt,['fmn']
1aku,['fmn']
1akv,['fmn']
1akw,['fmn']
1aky,['ap5']
1al8,"['dhp', 'fmn']"
1aln,['ctd']
1am1,['adp']
1ama,['pla']
1ami,['mic']
1amk,['pga']
1amq,['pmp']
1amr,"['mae', 'pmp']"
1amw,['adp']
1amz,['mlt']
1an9,"['be2', 'fad']"
1anc,['ben']
1and,['ben']
1ane,['ben']
1ank,"['amp', 'anp']"
1aob,['ddu']
1aor,['pte']
1ap9,['ret']
1apb,['fca']
1apv,['dfo']
1apw,['dfi']
1aq2,['atp']
1aqb,['rtl']
1aqu,"['a3p', 'est']"
1aqy,['a3p']
1arg,['ppd']
1arh,['ppd']
1ari,"['mae', 'plp']"
1ars,['plp']
1as0,['gsp']
1as3,['gdp']
1asa,"['mae', 'plp']"
1asc,['npl']
1asd,"['mae', 'mpl']"
1asm,"['mae', 'plp']"
1asn,['plp']
1at3,['dfp']
1atp,['atp']
1atr,['adp']
1ats,['adp']
1au8,['kph']
1aux,['sap']
1awf,['gr4']
1axa,['u0e']
1axe,['nad']
1axg,['nad']
1axr,"['htp', 'plp']"
1axw,"['mtx', 'ump']"
1ay4,['plp']
1ay5,"['mae', 'plp']"
1ay6,['hho']
1ay8,"['hci', 'plp']"
1ayl,['atp']
1aym,['dao']
1az1,"['alr', 'nap']"
1az8,['in4']
1azl,['fmn']
1azs,"['fkp', 'gsp']"
1azt,['gsp']
1b09,['pc']
1b0j,['ict']
1b0k,['flc']
1b0m,['flc']
1b15,['nae']
1b16,['naq']
1b1c,['fmn']
1b2l,"['cyh', 'dtt', 'ndc']"
1b2r,['fad']
1b37,['fad']
1b38,['atp']
1b39,['atp']
1b3a,['aop']
1b4e,['lea']
1b4k,['lea']
1b4p,['gps']
1b4s,['adp']
1b4u,['dhb']
1b4v,['fad']
1b4x,"['mae', 'plp']"
1b54,['plp']
1b56,['plm']
1b5d,['dcm']
1b5e,['dcm']
1b5g,['thz']
1b5o,['plp']
1b5p,['plp']
1b5q,"['fad', 'md2']"
1b5t,['fad']
1b62,['adp']
1b63,['anp']
1b6a,['tn4']
1b6j,['pi1']
1b6k,['pi5']
1b6l,['pi4']
1b6m,['pi6']
1b6p,['pi7']
1b6s,['adp']
1b6t,['cod']
1b7a,['ope']
1b7y,['fya']
1b8a,['atp']
1b8d,"['peb', 'pub']"
1b8g,['plp']
1b8n,['img']
1b8o,['imh']
1b8s,['fad']
1b8v,['nad']
1b9h,['plp']
1b9i,['pxg']
1b9s,['fdi']
1b9t,['rai']
1b9z,['mal']
1ba0,['adp']
1ba1,['adp']
1bbp,['blv']
1bc5,['sah']
1bcr,['aip']
1bcs,['cst']
1bcu,['prl']
1bd0,['in5']
1bdb,['nad']
1bdm,['nax']
1bdq,['im1']
1bdu,['dur']
1be4,['pcg']
1be8,['tca']
1beu,"['ipl', 'pls']"
1bex,['rbu']
1bf3,"['fad', 'phb']"
1bfd,['tpp']
1bfv,['stg']
1bg2,['adp']
1bgn,"['fad', 'phb']"
1bgq,['rdc']
1bh2,['gsp']
1bh5,['gtx']
1bh6,['1bh']
1bhn,"['35g', 'gdp']"
1bhx,['r56']
1bif,['atg']
1bit,['ben']
1bj5,['myr']
1bjg,['tmf']
1bji,['dpc']
1bjk,['fad']
1bjp,['oxp']
1bju,['gp6']
1bjv,['gp8']
1bkj,['fmn']
1bks,['plp']
1bkw,"['fad', 'phb']"
1bky,"['1mc', 'sah']"
1bl6,['sb6']
1blz,['acv']
1bmd,['nad']
1bmk,['sb5']
1bn1,['al5']
1bn3,['al6']
1bn4,['al9']
1bnn,['al1']
1bnq,['al4']
1bnt,['al2']
1bnu,['al3']
1bnv,['al7']
1bnw,['tpd']
1bo4,['spd']
1bo6,['a3p']
1bo7,['u']
1boa,['fug']
1bof,['gdp']
1boz,"['ndp', 'prd']"
1bp1,['pc1']
1bq1,"['cb3', 'ump']"
1bq4,['bhc']
1bqe,['fad']
1bqo,['n25']
1br6,['pt1']
