3ehx_A -2.292_-4.242_-5.148
1zz2_A 33.006_74.208_18.441
5m6m_A -14.204_-18.755_-5.404
3ds6_A 31.704_26.103_62.549
2wks_ABCDEF 3.953_14.697_-22.198
4mho_A 35.105_24.185_31.026
3t6y_ABCF -7.532_26.641_-3.662
5ito_A 19.472_-7.039_-5.581
5fnq_A 17.216_64.595_27.844
1gi4_A 42.854_-2.139_29.450
5mlj_A -15.825_-6.203_13.943
1q84_AB 33.466_23.104_9.918
3rwi_AB -25.997_3.076_-21.902
3rey_A 49.249_23.244_35.140
2clv_AB 20.249_52.441_9.995
4rcd_A 68.320_49.912_9.053
6bky_CD 20.303_16.101_29.202
4eh9_A -2.840_-8.228_13.269
4ynl_ABD 53.985_-6.127_-14.260
5etf_A 28.991_-1.804_27.321
4nru_A 38.637_-8.814_43.723
3h2m_A -79.153_87.574_94.467
5cpr_B -3.476_-15.772_26.301
3tiz_A -91.175_-9.146_-84.379
5el9_A -40.135_-21.501_9.614
3ekr_A 15.930_-2.411_51.854
5f0c_A 29.845_15.078_-1.709
3iub_AB 15.550_9.756_0.214
4j4n_A -10.638_8.331_-29.795
4loo_AB 21.301_-22.206_28.822
3pb7_X 5.464_49.175_20.835
3g4k_A 21.442_-4.145_32.197
4fbe_A 26.027_46.318_47.303
1b9v_A 31.368_-9.532_63.531
6bh8_A -0.138_20.231_-41.378
1d4p_ABH -18.957_-33.540_22.611
6r8i_A 41.498_35.919_43.645
6qz5_A 4.961_1.634_-4.061
5c42_AB 494.821_-25.148_23.341
4og4_A 13.219_12.387_11.683
3phe_A 32.626_74.182_24.236
4mwr_AB 62.529_17.091_-26.295
3vyd_A 178.128_200.273_98.621
5ewj_ABE 85.513_6.226_-31.952
1els_A 95.853_47.729_24.999
3cj2_A -24.967_9.796_-15.332
1o2t_A 43.404_-1.544_31.230
3dd8_A -2.581_6.429_14.169
4uce_A -20.998_15.538_-19.913
2v16_CO 8.297_47.170_69.634
4hva_ABCD -8.060_-32.284_16.600
1u71_A 30.676_13.640_-0.429
1ctu_A 35.109_49.997_9.244
5agt_A 4.362_25.869_12.216
4cwt_A 5.430_11.705_25.264
3cen_AL 7.611_41.921_61.674
3npa_A 33.665_22.454_27.947
1b9s_A 30.229_-9.590_64.573
4pd6_A 51.643_-19.169_-8.070
5jc1_AB 1.414_12.444_18.918
4y4v_AB 14.925_-8.555_10.599
5j9z_A -0.904_51.699_-23.275
5zg0_AB 33.306_-56.252_20.037
2r5a_A -24.756_-19.044_-18.804
5zwh_AC 13.558_4.866_24.069
2ym8_A 15.722_-1.427_11.693
3fuj_A -28.545_-1.206_0.046
1fd7_DEFGH -15.359_8.034_6.669
3rni_A -38.528_117.449_83.213
4l4v_ABGH -89.897_65.310_95.115
2mwy_A 6.905_14.165_10.157
2doo_AB 31.054_44.194_37.014
5lwn_A 17.442_25.618_26.004
2ay6_AB 100.853_44.797_12.220
4o13_AB 15.969_7.460_1.038
5khk_A 16.941_3.528_54.679
1g46_A -3.477_5.213_14.701
4acm_A 2.472_26.933_8.450
3neg_A -58.012_41.440_-21.338
4mxa_A -0.110_-19.929_-30.459
5aqr_AB 203.787_-7.108_63.350
4ww6_A 16.862_5.484_14.795
3rv9_A 39.094_1.490_30.358
3ts4_A 6.144_26.641_2.887
3e90_AB 16.474_53.690_2.748
5csz_HL -27.027_19.694_83.366
4wz8_BC 8.900_-9.333_-19.995
6gxq_A 119.657_12.616_60.588
4n84_ABE 37.425_-10.028_11.817
5kya_AB 9.967_-40.481_14.204
5mra_AB -18.396_-34.828_12.869
3pfp_AB 7.378_88.511_-8.232
2eg7_AB 26.423_40.515_72.896
4gzp_ABC 24.737_-9.593_14.766
4i9h_ABCD 12.438_13.112_35.498
2z5o_ 28.046_-33.960_-35.614
3vje_A 22.198_-10.265_9.480
6upj_AB -1.005_18.659_20.366
5zh4_AB 17.121_-15.459_-27.523
1uy9_A 2.926_10.885_24.736
5tx5_AB 20.265_-6.342_56.821
5vkf_ABCD 49.464_31.794_13.610
4mwb_B 42.696_13.871_-10.610
4ipj_A 97.289_-20.614_52.763
3udk_A 21.948_36.260_42.744
1h35_AB 64.809_70.818_65.179
1owe_A 22.621_15.953_32.429
1bnw_A -3.783_4.948_14.640
6m8w_A 24.569_12.746_9.291
4xgz_AB 26.050_1.399_-38.333
4nrq_A 15.230_5.335_15.109
2wf0_A 29.970_1.505_34.229
1jq9_A 13.081_20.292_40.964
3mj5_A -14.789_46.413_-40.194
5e0m_A -12.053_17.872_-18.914
5dtm_A -24.777_-22.400_9.917
5svl_AC 120.325_90.132_109.244
2j9h_AB 9.335_-2.852_7.001
1km3_A 40.597_38.314_36.615
2i40_AB -12.678_205.986_113.167
2jbv_A 85.983_35.113_71.108
4ffs_A -36.194_-46.489_11.942
4hlh_AC -39.148_-12.048_12.299
4abg_A -22.903_4.071_16.391
1o2s_A 43.969_-2.507_29.379
5vdp_A -3.102_28.031_55.828
2gh6_A -8.818_11.492_43.303
2cbu_A -1.446_10.666_9.303
2e9a_AB 41.028_38.718_57.599
6qyk_AB 12.607_56.867_-5.103
1rrw_A 48.829_46.332_75.870
5llp_AB 26.235_6.330_11.943
3zt3_AB -32.726_31.567_0.179
6bod_A -25.976_-13.389_2.554
1ouk_A 45.788_33.164_31.690
6p7p_ACF -0.013_-0.006_17.056
4ie5_A 31.141_-7.684_-23.763
5xwr_ABD -0.574_7.551_22.825
6apv_AB 27.072_109.606_-80.566
6i15_A 29.530_1.937_36.283
5myk_AB -18.900_11.122_-3.142
2qhz_AB 19.872_30.676_14.318
1o2n_A 43.816_-1.435_30.614
2yns_A 14.092_-10.163_27.048
3t5i_A 34.455_-10.917_16.012
3rpv_A 65.383_115.956_-83.735
3bu1_A 16.303_23.920_9.266
1w9v_AC 94.895_72.700_-9.617
1tpz_A 1.747_10.377_32.330
6udx_A -14.608_7.477_-19.547
4bfy_AB -18.779_-7.113_10.644
3rv8_A -1.189_-4.983_28.441
5eei_A 6.739_-2.663_0.371
4j2c_A -6.584_17.762_20.504
3hii_ABCDEFGH -31.854_-11.282_72.914
6o7g_B 53.281_7.063_-10.386
1x07_A 20.977_17.825_21.960
2ymt_A -9.856_7.837_11.470
4rj3_A -0.911_-26.604_45.597
2uxz_AB 12.260_23.123_5.467
6czu_A -11.683_-2.136_7.686
5dh4_A 6.518_12.259_43.516
6uyx_C 12.837_-1.673_9.628
6jtc_A 42.426_21.733_-38.548
3pb8_X -18.205_-13.641_16.687
4mra_A 6.048_25.822_33.269
2uzo_A 11.177_-9.212_10.826
6nv9_A -0.870_-19.482_34.419
3g90_X 22.420_6.630_31.465
2jup_W -0.657_9.016_1.533
3iux_A 2.304_28.853_7.269
1vea_AB 44.035_-105.902_87.393
5olk_ABCD -72.548_45.177_-43.238
1acj_A 4.452_69.916_65.551
1exv_AB 96.432_91.636_77.723
5nwz_A -0.644_-9.675_28.008
1ppc_E -2.215_4.801_24.135
3zpr_A -22.000_-12.296_25.833
1p2g_AB 68.271_17.806_36.165
5q12_AB -15.050_50.851_6.204
6fnj_A 0.413_11.049_107.259
1me8_A 63.365_55.202_16.056
1xom_A 14.533_6.323_12.731
5f2p_A -24.523_-5.986_-10.648
1o2y_A 43.078_-2.704_31.225
3arb_ABCDEFG -14.020_-44.521_-68.295
3f3t_A -1.872_32.367_-8.017
